ndisc,ndisc_true,ndisc_false,q,fstat,S_method,fund
0.0,0,0.0,0.05,lsm,mvr,XLB
0.0,0,0.0,0.05,lcd,mvr,XLB
0.0,0,0.0,0.05,mlr,mvr,XLB
0.0,0,0.0,0.05,lsm,mvr,XLC
0.0,0,0.0,0.05,lcd,mvr,XLC
0.0,0,0.0,0.05,mlr,mvr,XLC
22.0,21,1.0,0.05,lsm,mvr,XLE
22.0,21,1.0,0.05,lcd,mvr,XLE
0.0,0,0.0,0.05,mlr,mvr,XLE
0.0,0,0.0,0.05,lsm,mvr,XLF
0.0,0,0.0,0.05,lcd,mvr,XLF
30.0,27,3.0,0.05,mlr,mvr,XLF
0.0,0,0.0,0.05,lsm,mvr,XLK
0.0,0,0.0,0.05,lcd,mvr,XLK
0.0,0,0.0,0.05,mlr,mvr,XLK
0.0,0,0.0,0.05,lsm,mvr,XLP
22.0,20,2.0,0.05,lcd,mvr,XLP
21.0,20,1.0,0.05,mlr,mvr,XLP
0.0,0,0.0,0.05,lsm,mvr,XLRE
0.0,0,0.0,0.05,lcd,mvr,XLRE
0.0,0,0.0,0.05,mlr,mvr,XLRE
0.0,0,0.0,0.05,lsm,mvr,XLU
20.0,20,0.0,0.05,lcd,mvr,XLU
20.0,20,0.0,0.05,mlr,mvr,XLU
0.0,0,0.0,0.05,lsm,mvr,XLV
23.0,23,0.0,0.05,lcd,mvr,XLV
31.0,31,0.0,0.05,mlr,mvr,XLV
0.0,0,0.0,0.05,lsm,mvr,XLY
0.0,0,0.0,0.05,lcd,mvr,XLY
21.0,16,5.0,0.05,mlr,mvr,XLY
0.0,0,0.0,0.05,lsm,sdp,XLB
0.0,0,0.0,0.05,lcd,sdp,XLB
0.0,0,0.0,0.05,mlr,sdp,XLB
0.0,0,0.0,0.05,lsm,sdp,XLC
0.0,0,0.0,0.05,lcd,sdp,XLC
0.0,0,0.0,0.05,mlr,sdp,XLC
0.0,0,0.0,0.05,lsm,sdp,XLE
20.0,20,0.0,0.05,lcd,sdp,XLE
0.0,0,0.0,0.05,mlr,sdp,XLE
0.0,0,0.0,0.05,lsm,sdp,XLF
0.0,0,0.0,0.05,lcd,sdp,XLF
35.0,29,6.0,0.05,mlr,sdp,XLF
20.0,13,7.0,0.05,lsm,sdp,XLK
0.0,0,0.0,0.05,lcd,sdp,XLK
20.0,18,2.0,0.05,mlr,sdp,XLK
0.0,0,0.0,0.05,lsm,sdp,XLP
0.0,0,0.0,0.05,lcd,sdp,XLP
26.0,24,2.0,0.05,mlr,sdp,XLP
0.0,0,0.0,0.05,lsm,sdp,XLRE
0.0,0,0.0,0.05,lcd,sdp,XLRE
0.0,0,0.0,0.05,mlr,sdp,XLRE
0.0,0,0.0,0.05,lsm,sdp,XLU
21.0,21,0.0,0.05,lcd,sdp,XLU
24.0,23,1.0,0.05,mlr,sdp,XLU
0.0,0,0.0,0.05,lsm,sdp,XLV
28.0,28,0.0,0.05,lcd,sdp,XLV
29.0,29,0.0,0.05,mlr,sdp,XLV
0.0,0,0.0,0.05,lsm,sdp,XLY
0.0,0,0.0,0.05,lcd,sdp,XLY
0.0,0,0.0,0.05,mlr,sdp,XLY
